Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.1,7,7,6.9,6.8,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,..
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.425819738,0.333164748,0.25354197,0.269788644,0.338551996,0.485589486,0.831101965,1.033186158,0.996947091,1.539355612,1.855112402,2.034348221,1.97787565,1.957374064,1.968353693,2.482749668,2.749878303,2.726802395,2.898397739,2.835134005,3.025401406,3.11627411,2.979327854,2.967088905,..
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.40538216,18.73339325,17.40903562,14.84653972,16.04464167,15.87772039,15.2056174,14.78656465,16.87787066,16.5714641,17.16191068,14.82146784,17.46293836,16.8946075,18.44296098,19.30687784,19.0980474,17.83920803,17.24505215,17.38204731,17.4516307,15.57147411,15.10723866,13.46786712,..
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1.234530566,1.179784044,1.519015043,2.268318021,2.290399555,2.12312425,1.913603638,1.893174152,1.972608903,1.887829029,1.755706343,1.831093645,1.950202691,2.048979971,2.27834297,2.917358118,3.440202792,3.694383203,4.12103416,4.641940123,4.716428981,4.739162496,4.667541762,4.553214755,..
China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,82.12597124,79.86169679,80.86265933,82.69511266,81.48696938,81.70185078,82.49361295,82.84347871,80.28994703,80.24837277,79.19744638,80.98637738,77.71469821,77.27266636,75.13582766,72.83648504,71.33478326,70.90025776,69.57989977,67.94410244,66.62811159,66.24986874,64.79540073,64.40353222,..
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,78.21363715,76.25245704,77.54388319,79.55603937,78.1743334,79.19611784,80.33949603,80.95423534,78.75051375,78.38266989,76.98929157,78.69480663,75.51782173,75.13147467,73.00387568,70.18840207,68.41769091,68.02649615,66.52944773,64.96867951,63.45501876,63.00095208,61.71866088,61.34080611,..
China,CHN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.486514356,3.276075003,3.065234161,2.869284654,2.974083981,2.020143445,1.323014954,0.856057213,0.542486196,0.326347266,0.353042412,0.257222535,0.21900083,0.183817624,0.163598289,0.165333301,0.167214047,0.146959219,0.152054301,0.140288917,0.147691428,0.132642544,0.097411996,0.095637201,..
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.233755342,0.224728198,0.209580791,0.190561323,0.178607054,0.281549519,0.350985047,0.479233284,0.762948905,1.239414911,1.631076145,2.01460549,2.635099003,3.238881769,3.612740142,4.558071037,5.953988314,7.199464525,8.567688804,9.50765506,10.66027726,12.85652382,..,..,..
China,CHN,Rural population (% of total population),SP.RUR.TOTL.ZS,63.56797653,62.34025574,60.91021729,59.46976852,58.23998642,57.01000214,55.65699005,54.11075592,53.01049423,51.65829468,50.76597294,48.16997147,46.89968872,45.50999832,44.24974442,42.67021561,41.16007614,39.75973129,38.49980164,37.29008484,36.47657697,35.27892303,34.78236389,34.4698552,34.1053019
China,CHN,Rural population,SP.RUR.TOTL,802637877,792874543,779894422,766208498,754833904,743250800,729674271,713117536,702206162,687706214,679098958,647902976,635110895,620410501,607044544,588789237,571215421,555131332,540059817,524949305,514720978,498265397,491187847,486269694,480535177
